trial_no,param_hash,params,objective_score,mean_top10_lift,std_top10_lift,mean_spearman_rho,mean_decile_monotonicity,mean_valid_rmse,std_valid_rmse,mean_train_rmse,mean_valid_mae,elapsed_s,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees
1,76e9d63d7297e807,"{'num_leaves': 6, 'max_depth': -1, 'min_child_samples': 7159, 'min_child_weight': 0.03142880890840111, 'min_split_gain': 1.2087541473056957e-05, 'reg_alpha': 0.0070689749506246055, 'reg_lambda': 2.310201887845293, 'subsample': 0.5417022549267169, 'colsample_bytree': 0.5325453457757225, 'learning_rate': 0.016738881542579662, 'max_bin': 63, 'path_smooth': 0.2801635158716261, 'extra_trees': True}",-0.0051269087355334,0.0055332297410962,0.0008126420111255,0.2813252194808993,0.9444444444444444,0.0072043021088843,0.0008608275587614,0.0093875261566449,0.0048519139269056,7.0,6,-1,7159,0.0314288089084011,1.2087541473056955e-05,0.0070689749506246,2.310201887845293,0.5417022549267169,0.5325453457757225,0.0167388815425796,63,0.2801635158716261,True
2,21b44f50633640bd,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 6625, 'min_child_weight': 0.07886714129990492, 'min_split_gain': 0.0, 'reg_alpha': 1.7123375973163988, 'reg_lambda': 4.066563313514794, 'subsample': 0.49883605700319195, 'colsample_bytree': 0.760539815907294, 'learning_rate': 0.013775979824755383, 'max_bin': 127, 'path_smooth': 0.0013726318898045872, 'extra_trees': False}",-0.0053284061515579,0.0057847819529984,0.000912751602881,0.278705986902249,1.0,0.007187353672583,0.0008527536778441,0.009387363586589,0.0048521751743027,2.7,4,2,6625,0.0788671412999049,0.0,1.7123375973163988,4.066563313514794,0.4988360570031919,0.760539815907294,0.0137759798247553,127,0.0013726318898045,False
3,5295d65f46ed5697,"{'num_leaves': 13, 'max_depth': 5, 'min_child_samples': 5996, 'min_child_weight': 0.00018427970406864567, 'min_split_gain': 0.0, 'reg_alpha': 0.006080390190296602, 'reg_lambda': 1.231557172366602, 'subsample': 0.6126651653816322, 'colsample_bytree': 0.5832063738136892, 'learning_rate': 0.009339401285535344, 'max_bin': 63, 'path_smooth': 0.013296521457299506, 'extra_trees': False}",-0.006132664551821,0.0063055859931145,0.0003458428825869,0.2902406790063954,1.0,0.0071368755494451,0.0008755391251678,0.009277447371405,0.004785132009228,5.5,13,5,5996,0.0001842797040686,0.0,0.0060803901902966,1.231557172366602,0.6126651653816322,0.5832063738136892,0.0093394012855353,63,0.0132965214572995,False
4,7b488e351d1783e8,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 749, 'min_child_weight': 0.00022264204303769702, 'min_split_gain': 1.97778285124627e-05, 'reg_alpha': 2.8340904295147746, 'reg_lambda': 17.643967683381547, 'subsample': 0.6154490124263245, 'colsample_bytree': 0.38813501017161417, 'learning_rate': 0.010231806681740804, 'max_bin': 127, 'path_smooth': 0.35500125258511606, 'extra_trees': False}",-0.0064308061162298,0.0065177685686548,0.00017392490485,0.2913654541032154,0.8888888888888888,0.0070657597814586,0.0008688529373997,0.0090236937996237,0.0047247799260105,7.1,4,2,749,0.0002226420430376,1.97778285124627e-05,2.834090429514774,17.643967683381547,0.6154490124263245,0.3881350101716141,0.0102318066817408,127,0.355001252585116,False
5,9b93aba18fa5050e,"{'num_leaves': 3, 'max_depth': 4, 'min_child_samples': 2090, 'min_child_weight': 0.0008771380343280567, 'min_split_gain': 1.3357240411974104e-05, 'reg_alpha': 0.1082138291061399, 'reg_lambda': 65.33305220227733, 'subsample': 0.5746461145744375, 'colsample_bytree': 0.5962297538213778, 'learning_rate': 0.028478764407599208, 'max_bin': 63, 'path_smooth': 0.014421346497969485, 'extra_trees': True}",-0.0062511505107386,0.0064052691314082,0.0003082372413392,0.2919123762618205,0.8888888888888888,0.0070902492443976,0.0008858417133597,0.0091557406381554,0.0047422084511196,3.3,3,4,2090,0.000877138034328,1.3357240411974104e-05,0.1082138291061399,65.33305220227733,0.5746461145744375,0.5962297538213778,0.0284787644075992,63,0.0144213464979694,True
6,d69cb2468fe33da2,"{'num_leaves': 6, 'max_depth': -1, 'min_child_samples': 7159, 'min_child_weight': 0.03142880890840111, 'min_split_gain': 1.2087541473056957e-05, 'reg_alpha': 0.0070689749506246055, 'reg_lambda': 2.310201887845293, 'subsample': 0.5417022549267169, 'colsample_bytree': 0.5325453457757225, 'learning_rate': 0.016738881542579662, 'max_bin': 63, 'path_smooth': 0.2801635158716261, 'extra_trees': True}",-0.0048513517681346,0.0050029206768152,0.0003031378173613,0.2652989007271774,0.9444444444444444,0.0072804552018792,0.000838102881263,0.0094231629035624,0.0049577379210209,9.3,6,-1,7159,0.0314288089084011,1.2087541473056955e-05,0.0070689749506246,2.310201887845293,0.5417022549267169,0.5325453457757225,0.0167388815425796,63,0.2801635158716261,True
7,608d82548d25ddef,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 6625, 'min_child_weight': 0.07886714129990492, 'min_split_gain': 0.0, 'reg_alpha': 1.7123375973163988, 'reg_lambda': 4.066563313514794, 'subsample': 0.49883605700319195, 'colsample_bytree': 0.760539815907294, 'learning_rate': 0.013775979824755383, 'max_bin': 127, 'path_smooth': 0.0013726318898045872, 'extra_trees': False}",-0.0048975182456414,0.0050099112087552,0.0002247859262274,0.2663977079685582,0.8888888888888888,0.007272841242569,0.0008387966672161,0.0094088281855225,0.004939321554014,11.4,4,2,6625,0.0788671412999049,0.0,1.7123375973163988,4.066563313514794,0.4988360570031919,0.760539815907294,0.0137759798247553,127,0.0013726318898045,False
8,b0a43d976bb4fdae,"{'num_leaves': 13, 'max_depth': 5, 'min_child_samples': 5996, 'min_child_weight': 0.00018427970406864567, 'min_split_gain': 0.0, 'reg_alpha': 0.006080390190296602, 'reg_lambda': 1.231557172366602, 'subsample': 0.6126651653816322, 'colsample_bytree': 0.5832063738136892, 'learning_rate': 0.009339401285535344, 'max_bin': 63, 'path_smooth': 0.013296521457299506, 'extra_trees': False}",-0.0052668293621429,0.0054088436915793,0.0002840286588727,0.2774407038328732,0.9444444444444444,0.0072039868001976,0.0008676528852953,0.0092925028735896,0.0048509106621852,14.0,13,5,5996,0.0001842797040686,0.0,0.0060803901902966,1.231557172366602,0.6126651653816322,0.5832063738136892,0.0093394012855353,63,0.0132965214572995,False
9,18ea434d5c595308,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 749, 'min_child_weight': 0.00022264204303769702, 'min_split_gain': 1.97778285124627e-05, 'reg_alpha': 2.8340904295147746, 'reg_lambda': 17.643967683381547, 'subsample': 0.6154490124263245, 'colsample_bytree': 0.38813501017161417, 'learning_rate': 0.010231806681740804, 'max_bin': 127, 'path_smooth': 0.35500125258511606, 'extra_trees': False}",-0.0062251904145116,0.0063777557253043,0.0003051306215854,0.2836413148822967,1.0,0.0071014546229007,0.0008616948287782,0.0090314192623953,0.0047831189926333,11.9,4,2,749,0.0002226420430376,1.97778285124627e-05,2.834090429514774,17.643967683381547,0.6154490124263245,0.3881350101716141,0.0102318066817408,127,0.355001252585116,False
10,4cb80e1ce9d078f5,"{'num_leaves': 3, 'max_depth': 4, 'min_child_samples': 2090, 'min_child_weight': 0.0008771380343280567, 'min_split_gain': 1.3357240411974104e-05, 'reg_alpha': 0.1082138291061399, 'reg_lambda': 65.33305220227733, 'subsample': 0.5746461145744375, 'colsample_bytree': 0.5962297538213778, 'learning_rate': 0.028478764407599208, 'max_bin': 63, 'path_smooth': 0.014421346497969485, 'extra_trees': True}",-0.005840486748081709,0.00606112381966149,0.00044127414315956034,0.2817964962337079,0.8888888888888888,0.007143040120137481,0.0008784003799353689,0.009199146545890994,0.004784741672763146,4.5,3,4,2090,0.0008771380343280567,1.3357240411974104e-05,0.1082138291061399,65.33305220227733,0.5746461145744375,0.5962297538213778,0.028478764407599208,63,0.014421346497969485,True
